subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,trigger
david,56,20,38,Rumba Clave MR2 LH3,medium,low,pleasure,main,800.9028113,3,10.95668202,138
david,61,25,55,HR1 LH2,high,low,pleasure,main,826.2854919,3,12.44484384,155
david,41,5,7,LR3 HH3,low,high,pleasure,main,839.7521199,2,12.18982622,107
david,51,15,31,Son Clave MR1 MH1,medium,medium,pleasure,main,852.9628633,4,15.43835012,131
david,66,30,62,HR1 HH5,high,high,pleasure,main,869.4216019,2,13.60562609,162
david,70,34,68,HR3 MH2,high,medium,pleasure,main,884.0481591,1,11.49080606,168
david,53,17,34,Son Clave MR1 HH3,medium,high,pleasure,main,896.5592085,5,11.89021281,134
david,42,6,8,LR3 HH5,low,high,pleasure,main,909.4704181,2,11.25730995,108
david,63,27,58,HR1 MH1,high,medium,pleasure,main,921.7485005,5,12.85654808,158
david,50,14,29,Son Clave MR1 LH3,medium,low,pleasure,main,935.6263969,5,14.4702637,129
david,48,12,17,LR6 HH5,low,high,pleasure,main,951.1179767,3,12.37330386,117
david,64,28,59,HR1 MH2,high,medium,pleasure,main,964.512184,2,11.43999333,159
david,40,4,5,LR3 MH2,low,medium,pleasure,main,976.9724105,5,11.64044793,105
david,52,16,32,Son Clave MR1 MH2,medium,medium,pleasure,main,989.6331349,4,10.95784861,132
david,45,9,13,LR6 MH1,low,medium,pleasure,main,1001.611993,2,11.49017518,113
david,62,26,56,HR1 LH3,high,low,pleasure,main,1014.121692,2,10.92522501,156
david,65,29,61,HR1 HH3,high,high,pleasure,main,1026.067625,1,10.52372249,161
david,47,11,16,LR6 HH3,low,high,pleasure,main,1037.611891,5,11.3080027,116
david,54,18,35,Son Clave MR1 HH5,medium,high,pleasure,main,1049.940473,1,12.22245784,135
