subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,trigger
asfadsfasdfa,0,0,81,HR7 HH6,high,high,pleasure,practice,28.287825720028195,2,13.365714300001855,202
asfadsfasdfa,0,0,24,LR7 MH4,low,medium,pleasure,practice,43.67377522002789,4,11.756598599997233,204
asfadsfasdfa,95,47,79,HR7 HH3,high,high,pleasure,main,60.807472720021906,2,12.532468500001414,145
asfadsfasdfa,70,22,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,75.36040072002652,0,17.003441399996518,124
asfadsfasdfa,62,14,35,Son Clave MR1 HH5,medium,high,pleasure,main,94.38424602002488,0,17.003741100001207,122
asfadsfasdfa,57,9,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,113.40884132002247,3,12.040044900000794,113
asfadsfasdfa,65,17,52,Mariato Clave MR5 HH3,medium,high,pleasure,main,127.46988202002831,0,17.0044368999952,125
