subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,trigger
asfaewwefaefa,4,4,42,Rumba Clave MR2 MH4,medium,medium,wanting_to_move,main,1058.8636137399444,0,17.00310780000291,14
asfaewwefaefa,18,18,53,Mariato Clave MR5 HH5,medium,high,wanting_to_move,main,1077.8880313399422,0,17.003833299997495,26
asfaewwefaefa,7,7,32,Son Clave MR1 MH2,medium,medium,wanting_to_move,main,1096.9125021399377,0,17.0042717000033,11
asfaewwefaefa,12,12,51,Mariato Clave MR5 MH4,medium,medium,wanting_to_move,main,1115.937819439947,0,17.003703700000187,16
asfaewwefaefa,19,19,34,Son Clave MR1 HH3,medium,high,wanting_to_move,main,1134.9626363399439,0,17.003020999996806,21
asfaewwefaefa,3,3,41,Rumba Clave MR2 MH2,medium,medium,wanting_to_move,main,1153.986866039937,0,17.003548699998646,13
asfaewwefaefa,44,44,62,HR1 HH5,high,high,wanting_to_move,main,1173.0120811399393,0,17.003289300002507,42
asfaewwefaefa,24,24,53,Mariato Clave MR5 HH5,medium,high,wanting_to_move,main,1192.0368373399397,0,17.003028100007214,26
asfaewwefaefa,2,2,33,Son Clave MR1 MH4,medium,medium,wanting_to_move,main,1211.0608009399439,0,17.00416480000422,12
asfaewwefaefa,31,31,59,HR1 MH2,high,medium,wanting_to_move,main,1230.0854990399384,0,17.003433100006077,31
asfaewwefaefa,32,32,60,HR1 MH4,high,medium,wanting_to_move,main,1249.1102572399395,0,17.00425750001159,32
asfaewwefaefa,40,40,71,HR3 HH5,high,high,wanting_to_move,main,1268.133974739947,0,17.00523880000401,44
asfaewwefaefa,43,43,61,HR1 HH3,high,high,wanting_to_move,main,1287.1598113399377,0,17.003484799992293,41
asfaewwefaefa,46,46,71,HR3 HH5,high,high,wanting_to_move,main,1306.1841888399504,0,17.00390010001138,44
asfaewwefaefa,34,34,69,HR3 MH4,high,medium,wanting_to_move,main,1325.2088425399415,0,17.004562699992675,34
asfaewwefaefa,33,33,68,HR3 MH2,high,medium,wanting_to_move,main,1344.2338029399398,0,17.003733700010343,33
asfaewwefaefa,17,17,52,Mariato Clave MR5 HH3,medium,high,wanting_to_move,main,1363.2581339399476,0,17.004309099997045,25
asfaewwefaefa,20,20,35,Son Clave MR1 HH5,medium,high,wanting_to_move,main,1382.2823048399441,0,17.00447119999444,22
asfaewwefaefa,22,22,44,Rumba Clave MR2 HH5,medium,high,wanting_to_move,main,1401.3070449399384,0,17.003922300005797,24
asfaewwefaefa,45,45,70,HR3 HH3,high,high,wanting_to_move,main,1420.331966439946,0,17.004365400003735,43
asfaewwefaefa,39,39,70,HR3 HH3,high,high,wanting_to_move,main,1439.356942239945,0,17.003784599990468,43
asfaewwefaefa,28,28,69,HR3 MH4,high,medium,wanting_to_move,main,1458.381871239937,0,17.004406899999594,34
asfaewwefaefa,9,9,41,Rumba Clave MR2 MH2,medium,medium,wanting_to_move,main,1477.4073327399383,0,17.002932799994596,13
asfaewwefaefa,27,27,68,HR3 MH2,high,medium,wanting_to_move,main,1516.7475409399485,0,17.011679299990647,33
